Year,Make,Model,Subseries,Color,Drs,Cyl,Fuel,Trans,4x4,EW,Radio,Top,Int,Odometer,Price
2019,TOYOTA,TACOMA 4X4 DB,SR5,BLACK,D,6,GAS,A,4X4,A,CD,HT,C,"47,316","$33,000"
2017,TOYOTA,TACOMA 4X4 DB,TRD SPORT,BLACK,D,6,GAS,A,4X4,A,CD,SR,C,"70,553","$30,500"
2008,TOYOTA,TACOMA 4X4 EX,,SILVER,X,6,GAS,A,4X4,A,CD,HT,C,"198,671","$7,800"
2008,TOYOTA,TUNDRA 4X4 DB,SR5,BLUE,C,8,GAS,,4X4,,,,,"71,869","$13,800"
2022,TOYOTA,4RUNNER,TRD SPORT,GRAY,S,6,GAS,A,4X4,A,AM/FM,HT,L,958,"$49,000"
2018,TOYOTA,4RUNNER 4X4,SR5,WHITE,S,6,GAS,A,4X4,A,CD,HT,C,"39,101","$37,500"
2007,TOYOTA,AVALON,LIMITED,SILVER,4,6,GAS,,4X2,,,,,"263,423","$2,450"
2000,TOYOTA,CAMRY,LE,SILVER,4,4,GAS,A,4X2,,B,SR,L,"214,633",$800
2010,TOYOTA,CAMRY 4C,,BLACK,4,4,GAS,6,,A,CD,HT,C,"118,368","$3,700"
2010,TOYOTA,CAMRY 4C,LE,WHITE,4,4,GAS,A,4X2,A,CD,SR,C,"141,837","$5,200"
2018,TOYOTA,CAMRY 4C,LE,BLACK,4,4,GAS,A,4X2,A,AM/FM,HT,C,"63,432","$17,600"
2018,TOYOTA,CAMRY 4C,SE,RED,4,4,GAS,A,4X2,A,AM/FM,HT,B,"36,518","$23,400"
2015,TOYOTA,CAMRY 4C,XLE,GRAY,4,4,GAS,A,4X2,A,CD,SR,L,"62,652","$18,900"
2015,TOYOTA,COROLLA,LE,RED,4,4,GAS,A,4X2,A,CD,HT,C,"21,318","$15,600"
2016,TOYOTA,COROLLA,LE,BLACK,4,4,GAS,A,4X2,A,CD,HT,C,"203,303","$7,200"
2019,TOYOTA,COROLLA,LE,RED,4,4,GAS,A,4X2,A,CD,HT,C,"40,948","$18,200"
2016,TOYOTA,COROLLA,S PLUS,BLACK,4,4,GAS,A,4X2,,,SR,,"133,874","$10,600"
2019,TOYOTA,HIGHLNDR AWD V6,LE,BLACK,S,6,GAS,A,AWD,A,CD,HT,C,"33,874","$31,500"
2020,TOYOTA,HIGHLNDR AWD V6,LE,GRAY,S,6,GAS,A,AWD,A,AM/FM,HT,C,"17,270","$37,500"
2019,TOYOTA,HIGHLNDR AWD V6,XLE,BLACK,S,6,GAS,A,AWD,A,CD,SR,L,"31,564","$35,500"
2003,TOYOTA,HIGHLNDR 4X4 V6,,GREEN,S,6,GAS,A,4X4,A,B,HT,C,"138,960","$2,200"
2005,TOYOTA,HIGHLNDR 4X4 V6,,BLACK,S,6,GAS,A,4X4,A,B,HT,C,"199,259","$2,000"
2010,TOYOTA,HIGHLNDR 4X4 V6,LIMITED,GRAY,S,6,GAS,A,4X4,A,CD,SR,L,"142,225","$9,400"
2011,TOYOTA,HIGHLNDR 4X4 V6,SE,WHITE,S,6,GAS,A,4X4,A,CD,SR,L,"159,920","$11,600"
2008,TOYOTA,PRIUS,BASE,RED,5,4,H,A,4X2,A,CD,HT,L,"214,918","$2,800"
2018,TOYOTA,PRIUS,TWO,SILVER,4,4,H,A,4X2,A,CD,HT,C,"100,620","$16,300"
2012,TOYOTA,PRIUS,3,SILVER,5,4,H,A,4X2,A,CD,SR,C,"190,756","$5,300"
2019,TOYOTA,RAV4 AWD,LE,GRAY,S,4,GAS,A,AWD,A,AM/FM,HT,C,"24,596","$29,000"
2019,TOYOTA,RAV4 AWD,LIMITED,SILVER,S,4,GAS,A,AWD,A,AM/FM,PN,E,"11,203","$38,750"
2010,TOYOTA,RAV4 4X4 4C,LIMITED,SILVER,S,4,GAS,A,AWD,A,CD,SR,L,"119,610","$9,200"
2007,TOYOTA,SIENNA AWD,LE,BLUE,V,6,GAS,A,AWD,A,CD,HT,C,"141,503","$5,400"
2006,TOYOTA,TACOMA 4X2 V6,PRERUNNER,WHITE,C,6,GAS,A,4X2,A,CD,HT,C,"129,454","$6,800"
2014,TOYOTA,TACOMA 4X4 V6,,SILVER,C,6,GAS,A,4X4,A,CD,HT,C,"98,059","$23,800"
2002,TOYOTA,TUNDRA 4X4 EX,SR5,RED,X,6,GAS,,4X4,,,,,"185,653","$4,800"
2006,TOYOTA,AVALON,LIMITED,SILVER,4,6,GAS,,4X2,,,,,"256,019","$2,000"
2005,TOYOTA,AVALON,TOURING,GRAY,4,6,GAS,A,4X2,A,B,SR,E,"250,610","$1,700"
2002,TOYOTA,CAMRY,LE,BLUE,4,4,GAS,A,4X2,,,,,"192,130","$1,300"
2021,TOYOTA,CAMRY FWD 4C,SE,BLUE,4,4,GAS,A,4X2,A,AM/FM,HT,E,"10,040","$25,750"
2007,TOYOTA,CAMRY 4C,,GRAY,4,4,H,A,4X2,A,CD,SR,L,"168,481","$3,100"
2009,TOYOTA,CAMRY 4C,,BLACK,4,4,H,A,4X2,A,CD,SR,L,"238,619",$600
2009,TOYOTA,CAMRY 4C,GS,BLUE,4,4,H,A,4X2,A,CD,SR,E,"161,807","$4,400"
2003,TOYOTA,CAMRY 4C,LE,BLUE,4,4,GAS,A,4X2,,,,,"145,362","$3,300"
2007,TOYOTA,CAMRY 4C,LE,WHITE,4,4,GAS,A,4X2,A,CD,SR,C,"124,975","$3,600"
2008,TOYOTA,CAMRY 4C,LE,BLACK,4,4,GAS,A,4X2,,,,,"189,834","$2,800"
2014,TOYOTA,CAMRY 4C,LE,GRAY,4,4,GAS,A,4X2,A,CD,HT,C,"143,406","$5,700"
2019,TOYOTA,CAMRY 4C,LE,BLACK,4,4,GAS,A,4X2,A,AM/FM,HT,C,"55,474","$21,700"
